PackageName,UpdateDate,DescriptionAndNote
Arduino ,2021.01.06,Arduino Editor
Bleachbit,2021.01.06,disk cleaner
Boomaga,2021.01.06,printing management
CPUfreq,2021.01.06,"With CPUfreq, you can choose the mode you want the laptop to run in. "
gnome,2021.01.06,graphic desktop for linux (such as gnome-shell ubuntu-gnome-desktop gnome-tweak-tool). View Gnome theme setup for further instruction.
Gnome Photos,2021.01.07,photos app to let importing from iphone available
Gnome-shell-extension-autohidetopbar,2021.01.06,package to change animation effect of gnome
Gparted,2021.01.06,Disk management (Official Site: https://gparted.org/)
gtk,2021.01.06,to install customized gnome apps. View Gnome theme setup for further instruction.
htop ,2021.01.06,Resource monitor
ibus,2021.01.06,input method engine (ibus ibus-clutter ibus-gtk ibus-gtk3 ibus-qt4 ibus-rime) and so on. View Chinese Pinyin method set up for further information.
Kdenlive,2021.01.08,video editing package
lm-sensors,2021.01.06,sensors to monitor pc temperature
neofetch,2021.01.06,demo basic computer information.
pdf studio,2021.01.06,pdf viewer (https://www.qoppa.com/pdfstudioviewer/download/#linux64)
Playonlinux,2021.01.06,Wine’s frontend UI (Official Site: https://www.playonlinux.com/en/download.html)
PRATAP-KUMAR/focalgdm3,2021.01.06,github repository to change login color
Snapd,2021.01.06,package image installer
Sublime,2021.01.06,code editor Official Documentation: https://snapcraft.io/docs/installing-snap-on-ubuntu)
TLP,2021.01.06,a daemon that is pre-configured to reduce overheating as well as improve battery life.
thermald,2021.01.06,cpu overheating and power consuming solution
Typora,2021.01.06,markdown editor (Official Documentation: https://support.typora.io/Typora-on-Linux/)
Wine,2021.01.06,package to run windows apps on linux environment
Zsh,2021.01.06,fancy shell (Official site: https://ohmyz.sh/)
